id	name	lat	lon	y	x	country	adm1	adm2	district
53f4f088-8cca-4523-bfb1-c186deede727	Aleksandrów Kujawski	52°52'30''	18°41'41''	556645.24	479453.79	POL	kujawsko-pomorskie	aleksandrowski	
1695e02d-c80f-46cc-a167-57bfef321b86	Aleksandrów Łódzki	51°49'13''	19°18'18''	439370.27	521015.83	POL	łódzkie	zgierski	
52e8eed9-fa48-4c19-9dcc-c4928d24ce14	Alwernia	50°04'07''	19°32'31''	244735.31	538776.4	POL	małopolskie	chrzanowski	
8a445290-c4b4-4e6c-934d-7de07c50c9fd	Andrychów	49°51'10''	19°20'29''	220671.55	524524.25	POL	małopolskie	wadowicki	
5116ef59-1754-4ecc-8992-8e8a2a1346ae	Annopol	50°53'08''	21°51'25''	339281	700892.86	POL	lubelskie	kraśnicki	
a2cbba8d-b717-458d-b38b-5906f2b02c44	Augustów	53°50'24''	22°59'54''	671342.42	762949.13	POL	podlaskie	augustowski	
b559cf33-2a49-488c-b502-7d51501a258a	Babimost	52°09'53''	15°49'49''	482372.43	283296.99	POL	lubuskie	zielonogórski	
c72d979f-daf1-4f42-bec9-d663c87e2ec0	Baborów	50°09'24''	17°59'09''	254865.74	427573	POL	opolskie	głubczycki	
8bc32bec-e0a4-435e-b099-b109221e99b3	Baranów Sandomierski	50°29'54''	21°32'32''	295447.37	680235.75	POL	podkarpackie	tarnobrzeski	
fa96d26a-bace-496a-b10e-efd27c06163d	Barcin	52°51'27''	17°56'31''	555171.89	428778.28	POL	kujawsko-pomorskie	żniński	
8f134171-b636-4f8e-a48d-8f7fc731eb4b	Barczewo	53°49'42''	20°41'25''	663958.05	611216.52	POL	warmińsko-mazurskie	olsztyński	
cbca97ea-de3f-43a6-9449-8b6b6fd784d2	Bardo	50°30'23''	16°44'26''	295681.05	339825.28	POL	dolnośląskie	ząbkowicki	
28fc718b-c9ec-49f4-84f1-90d5bbf255a0	Barlinek	52°59'50''	15°13'10''	576888.46	246396.7	POL	zachodniopomorskie	myśliborski	
58347a3e-0f62-4e29-ac06-369c76b33912	Bartoszyce	54°15'04''	20°48'34''	711153.85	617857.56	POL	warmińsko-mazurskie	bartoszycki	
be6c2334-efd1-4035-9853-5267d47700a6	Barwice	53°44'41''	16°21'19''	656590.93	325646.16	POL	zachodniopomorskie	szczecinecki	
a3617852-9aaf-4daf-9b4b-a5436f003c7c	Bełchatów	51°21'45''	19°21'54''	388490.2	525410.31	POL	łódzkie	bełchatowski	
55778000-898e-479d-9bb1-c29963974151	Bełżyce	51°10'30''	22°16'55''	372701.79	729322.09	POL	lubelskie	lubelski	
4a12cc87-4ed3-4e76-8eed-a1f99bb6764f	Będzin	50°19'27''	19°08'09''	273023.81	509667.18	POL	śląskie	będziński	
dd0d700a-435d-4eb0-a681-35033fe853cd	Biała	50°23'07''	17°39'35''	280660.9	404749.99	POL	opolskie	prudnicki	
fff2ba72-7eea-4df2-aeb8-1ba5459dafbd	Biała Piska	53°36'39''	22°03'43''	642795.27	702482.92	POL	warmińsko-mazurskie	piski	
cb2da033-23a4-44ba-9522-c2a813db54c3	Biała Podlaska	52°02'02''	23°07'23''	471098.48	782697.16	POL	lubelskie	m. Biała Podlaska
342133b3-92bf-4782-a7e4-b786d8d7f1d2	Biała Rawska	51°48'30''	20°28'27''	439025.61	601600.85	POL	łódzkie	rawski	
d147b132-22ed-464e-b3ef-5dd4739617dc	Białobrzegi	51°38'54''	20°56'59''	422008.37	634849.33	POL	mazowieckie	białobrzeski	
418c27d5-a52f-40ef-a5c3-625b9bb855ed	Białogard	54°00'30''	15°59'09''	686856.62	302549.64	POL	zachodniopomorskie	białogardzki	
b424e8b4-8b3e-4b24-885b-466436e11509	Biały Bór	53°53'46''	16°50'08''	672354.57	357819.28	POL	zachodniopomorskie	szczecinecki	
c69ec723-0a2a-4ea3-929a-c5f2d52a169d	Białystok	53°07'57''	23°09'47''	593340.43	778375.95	POL	podlaskie	m. Białystok	
252a79a0-f277-47be-8e87-df76df0243b6	Biecz	49°43'52''	21°15'14''	209505.09	662366.16	POL	małopolskie	gorlicki	
c895a01b-03b9-43c4-ade6-daa0d7faef10	Bielawa	50°41'04''	16°36'42''	315779.24	331347.69	POL	dolnośląskie	dzierżoniowski	
7f90fc3e-1c75-44da-8e3a-f280ae6a94e4	Bielsk Podlaski	52°46'16''	23°11'25''	553286.15	782544.71	POL	podlaskie	bielski	
99994689-10c7-489b-a49a-d75914f5ba59	Bielsko-Biała	49°49'19''	19°02'40''	217178.61	503195.99	POL	śląskie	m. Bielsko-Biała	
297354fc-8090-40b8-85a4-2e983d784d00	Bieruń	50°05'30''	19°05'28''	247166.54	506516.66	POL	śląskie	bieruńsko-lędziński	
57163ba8-2d8c-4b75-8875-ef597c326d38	Bierutów	51°07'31''	17°32'39''	363068.13	398147.4	POL	dolnośląskie	oleśnicki	
7682aea3-2f87-49f5-942a-1065484f6c0a	Bieżuń	52°57'35''	19°53'19''	566389.28	559663.25	POL	mazowieckie	żuromiński	
ee8db1bc-1bb5-4684-9428-7813bf2f90d7	Biłgoraj	50°32'18''	22°43'13''	303418.04	763526.96	POL	lubelskie	biłgorajski	
ccdd9e3f-9ef6-4b30-9de9-2e3c17a2b6aa	Biskupiec	53°51'52''	20°57'19''	668418.49	628541.01	POL	warmińsko-mazurskie	olsztyński	
7dc8982b-b989-4ee5-9381-3e72f12e8942	Bisztynek	54°05'10''	20°54'05''	692964.74	624336.43	POL	warmińsko-mazurskie	bartoszycki	
98f219b2-1a65-492e-812a-f2b23d290be6	Blachownia	50°47'03''	18°57'45''	324136.25	497360.35	POL	śląskie	częstochowski	
56717019-e2b9-4946-816d-ae9074f680d0	Błaszki	51°39'06''	18°26'16''	420729.9	461113.7	POL	łódzkie	sieradzki	
e645986f-ac51-4eac-a5ec-adcebb407546	Błażowa	49°53'07''	22°06'05''	228828.78	722710.68	POL	podkarpackie	rzeszowski	
a3867ad6-1fdb-4d3a-867a-747cf404930e	Błonie	52°11'41''	20°37'01''	482192.26	610494.4	POL	mazowieckie	warszawski zachodni	
6fc0d01d-dc93-4f5c-b35c-642e492abb89	Bobolice	53°57'20''	16°35'22''	679472.84	341884.68	POL	zachodniopomorskie	koszaliński	
fadec876-10dd-4112-a706-7584bcdc972e	Bobowa	49°42'19''	20°56'60''	206042.25	640553.36	POL	małopolskie	gorlicki	
f2d97dff-f6a7-41a2-8405-d6fe2760c09a	Bochnia	49°58'10''	20°25'57''	234541.73	602702.88	POL	małopolskie	bocheński	
f0d02bec-6f4a-4584-b459-54c5ee8443af	Bodzentyn	50°56'28''	20°57'25''	343398.55	637446.25	POL	świętokrzyskie	kielecki	
9bb64a28-d54d-4e01-9d74-23b1f1070fd6	Bogatynia	50°54'17''	14°57'26''	345320.68	215872.39	POL	dolnośląskie	zgorzelecki	
87c4b31c-75d5-4181-adaa-5a1f392bf3d5	Boguchwała	49°58'51''	21°56'20''	238976.62	710626.15	POL	podkarpackie	rzeszowski	
9c93808f-ac17-486b-9478-dfec019c92b1	Boguszów-Gorce	50°45'21''	16°12'18''	324720.69	302921.9	POL	dolnośląskie	wałbrzyski	
e2ecc1f7-ad8e-49a7-b71d-d6dbbbbdf32c	Bojanowo	51°42'27''	16°44'56''	429176.03	344511.35	POL	wielkopolskie	rawicki	
3d9ba1af-fab1-4b1a-b6f6-f89a326cd925	Bolesławiec	51°15'47''	15°33'53''	382975.94	260421.98	POL	dolnośląskie	bolesławiecki	
6dddb5cc-f52d-4ef7-b5a4-8985296373c2	Bolków	50°55'20''	16°06'02''	343478.32	296293.41	POL	dolnośląskie	jaworski	
4c255645-6c9b-4582-9a8d-e57fc509f108	Borek Wielkopolski	51°54'59''	17°14'32''	451480.97	379144.74	POL	wielkopolskie	gostyński	
af4f6b53-dada-4717-a8ec-aff30a2494d4	Borne Sulinowo	53°34'53''	16°32'18''	637998.73	337088.2	POL	zachodniopomorskie	szczecinecki	
e64fd8e9-8fb7-43e6-832b-4448f7d75260	Braniewo	54°22'56''	19°49'18''	724556.89	553351.87	POL	warmińsko-mazurskie	braniewski	
df9e165f-d056-46fa-82b1-f132d5afa997	Brańsk	52°44'36''	22°50'30''	548892.85	759217.36	POL	podlaskie	bielski	
7c5fe5ef-3974-44af-af5f-47f712eabad6	Brodnica	53°15'23''	19°24'10''	599100.29	526859.13	POL	kujawsko-pomorskie	brodnicki	
49c6f52e-9d37-4825-a43e-4434cac2c4f4	Brusy	53°53'12''	17°43'04''	669881.9	415750.22	POL	pomorskie	chojnicki	
de1369ec-3325-4cdb-99c8-a23a2b6fb43d	Brwinów	52°08'34''	20°43'02''	476574.89	617473.23	POL	mazowieckie	pruszkowski	
eb499479-acb6-4479-a830-d824b89b4d09	Brzeg	50°51'42''	17°28'12''	333863.2	392350.63	POL	opolskie	brzeski	
b8016d6b-d9b8-4a34-861d-dcba0dd4e913	Brzeg Dolny	51°15'37''	16°43'11''	379539.4	340944.06	POL	dolnośląskie	wołowski	
619a4062-af30-4c4d-b5eb-897399facabc	Brzesko	49°58'06''	20°36'28''	234687.09	615263.2	POL	małopolskie	brzeski	
2bf29834-202c-4635-ba3e-bdcc57982065	Brzeszcze	49°58'59''	19°08'39''	235083.48	510325.49	POL	małopolskie	oświęcimski	
17470435-a02b-4b14-821a-9cf9885ffb92	Brześć Kujawski	52°36'23''	18°54'02''	526742.27	493276.89	POL	kujawsko-pomorskie	włocławski	
4af467fa-dbb2-4e79-8e8e-6709807b5611	Brzeziny	51°47'59''	19°45'13''	437299.88	551942.6	POL	łódzkie	brzeziński	
6cdbd3c1-a40e-4b9a-906e-b24bb79180ba	Brzostek	49°52'47''	21°24'39''	226375.3	673151.43	POL	podkarpackie	dębicki	
6f0afa16-0b93-4fc9-9238-1bfe28d31f6e	Brzozów	49°41'39''	22°01'10''	207366.73	717676.44	POL	podkarpackie	brzozowski	
f2f485d1-34aa-4ee9-849c-94d56988e6dd	Buk	52°21'19''	16°31'11''	501721.29	331142.51	POL	wielkopolskie	poznański	
829d0b16-fdc6-4576-be6c-103ec68cb97b	Bukowno	50°16'04''	19°27'46''	266825.79	532966.76	POL	małopolskie	olkuski	
6f27519f-640a-4993-9931-f9cbadc79cea	Busko-Zdrój	50°28'09''	20°43'06''	290537.18	621908.58	POL	świętokrzyskie	buski	
a6d4632a-b8c1-4e7e-9dde-fc58673e7dca	Bychawa	51°00'52''	22°32'05''	355681.04	747845.91	POL	lubelskie	lubelski	
8d3a0c96-5870-45c6-9c4b-bf27a1a87aaa	Byczyna	51°06'51''	18°12'51''	361103.8	445014.22	POL	opolskie	kluczborski	
f25872ab-ae3b-4039-95c7-ffb77ce774b2	Bydgoszcz	53°07'31''	18°00'05''	584918.85	433201.17	POL	kujawsko-pomorskie	m. Bydgoszcz	
252b39cb-24aa-4bfd-a671-f2b98feaa704	Bystrzyca Kłodzka	50°17'51''	16°39'01''	272681.27	332703.78	POL	dolnośląskie	kłodzki	
a10d44d9-e775-44e3-898b-63426f06796e	Bytom	50°20'52''	18°55'03''	275628.55	494131.72	POL	śląskie	m. Bytom	
7bca99a4-0376-4ca5-86f0-cab847d8297a	Bytom Odrzański	51°43'50''	15°49'35''	434131.66	280916.25	POL	lubuskie	nowosolski	
f23d1576-9d7e-4186-8c39-49015ade010e	Bytów	54°10'08''	17°29'22''	701564.85	401418.18	POL	pomorskie	bytowski	
